ID_Uzorka;Dubina_Busenja_cm;Temp_Tla_C;pH_Vrijednost;H2O_Postotak;Metan_Senzor;Organske_Molekule
1;13,5;-38,9;6,36;3,19;Negativno;Ne
2;0,3;-42,1;7,03;2,34;Negativno;Ne
3;5,5;-42,2;6,4;4,65;Negativno;Ne
4;10,6;-21,9;7,03;1,0;Negativno;Ne
5;13,9;-60,9;7,19;0,22;Negativno;Ne
6;6,0;-48,2;6,72;4,87;Pozitivno;Ne
7;1,5;-42,1;7,68;4,31;Negativno;Ne
8;4,8;-66,8;6,14;0,23;Negativno;Ne
9;5,1;-73,2;8,05;1,4;Negativno;Ne
10;13,1;-59,7;6,87;1,96;Negativno;Ne
11;6,2;-46,0;7,04;4,46;Negativno;Ne
12;13,0;-53,3;7,0;4,81;Negativno;Ne
13;10,8;-61,9;6,97;4,22;Negativno;Ne
14;8,2;-48,8;6,7;4,69;Negativno;Ne
15;6,1;-42,7;6,87;0,52;Negativno;Ne
16;14,2;-42,3;6,19;5,44;Negativno;Ne
17;7,5;-58,6;6,65;1,18;Negativno;Ne
18;0,8;-7,5;7,16;5,425106602371023;Pozitivno;Da
19;8,5;-58,3;6,96;1,23;Negativno;Ne
20;1,2;-28,4;7,65;4,35;Negativno;Ne
21;6,3;-63,4;7,09;2,1;Negativno;Ne
22;5,7;-40,0;6,4;4,35;Negativno;Ne
23;2,5;-38,3;6,92;5,47;Negativno;Ne
24;6,5;-47,9;7,09;3,52;Negativno;Ne
25;0,7;-16,9;6,32;4,07;Negativno;Ne
26;2,6;-53,9;5,69;4,76;Negativno;Ne
27;5,7;-28,9;7,56;1,3;Negativno;Ne
28;6,3;-7,5;6,6;9,245106602371024;Pozitivno;Da
29;0,2;-76,9;7,15;4,6;Negativno;Ne
30;9,0;-37,9;6,72;3,63;Pozitivno;Ne
31;3,1;-53,8;6,91;4,37;Negativno;Ne
32;7,7;-18,0;6,74;5,155106602371023;Pozitivno;Da
33;4,3;-68,5;7,01;0,17;Negativno;Ne
34;7,1;-48,6;6,43;0,41;Negativno;Ne
35;8,6;-60,1;7,83;1,22;Negativno;Ne
36;11,5;-47,1;7,1;3,44;Negativno;Ne
37;5,2;-31,5;7,31;4,06;Negativno;Ne
38;8,0;-26,9;7,33;2,05;Negativno;Ne
39;14,7;-67,3;8,38;0,28;Negativno;Ne
40;13,8;-45,4;6,72;4,37;Negativno;Ne
41;9,7;-41,0;7,33;4,45;Negativno;Ne
42;10,3;-37,3;6,46;5,12;Negativno;Ne
43;5,9;-56,7;7,05;3,09;Negativno;Ne
44;5,7;-88,6;7,78;3,62;Negativno;Ne
45;3,2;-50,1;6,01;6,0;Negativno;Ne
46;3,7;-82,9;7,55;3,12;Negativno;Ne
47;13,7;-69,4;6,79;5,98;Negativno;Ne
48;3,0;-40,5;6,97;3,0;Pozitivno;Ne
49;13,4;-62,4;6,33;2,98;Negativno;Ne
50;10,1;-50,1;7,1;3,78;Negativno;Ne
51;13,4;-52,0;7,18;1,32;Negativno;Da
52;13,6;-75,1;7,26;3,97;Negativno;Ne
53;2,1;-66,6;7,39;0,26;Negativno;Ne
54;2,7;-31,3;5,61;1,02;Negativno;Ne
55;2,4;-41,5;6,68;0,8;Negativno;Ne
56;2,9;-29,0;6,26;4,53;Negativno;Ne
57;14,5;-26,8;7,38;2,17;Negativno;Ne
58;8,1;-65,8;6,93;3,41;Negativno;Ne
59;10,0;-46,3;7,0;3,15;Negativno;Ne
60;4,7;-72,0;6,4;5,57;Negativno;Ne
61;1,5;-45,2;7,76;0,38;Negativno;Da
62;3,0;-52,9;6,85;2,99;Negativno;Ne
63;7,7;150,0;-2,0;0,79;Pozitivno;Ne
64;7,8;-61,1;7,42;0,97;Negativno;Ne
65;13,8;-44,2;7,58;2,37;Pozitivno;Ne
66;8,0;-35,7;6,31;5,03;Negativno;Ne
67;10,3;-37,4;7,22;3,28;Negativno;Ne
68;2,8;-18,4;8,04;3,3930943091646317;Pozitivno;Da
69;2,5;-49,5;7,03;2,3;Negativno;Ne
70;4,2;-12,5;5,95;1,63;Negativno;Ne
71;2,4;-79,5;7,03;5,84;Negativno;Ne
72;0,8;-20,6;7,64;4,61;Negativno;Ne
73;11,3;-44,1;6,49;2,76;Negativno;Ne
74;11,9;-37,7;6,97;0,18;Negativno;Ne
75;4,8;-49,3;7,64;2,62;Negativno;Ne
76;9,9;-26,8;7,42;0,95;Negativno;Ne
77;13,1;-59,3;7,94;2,32;Negativno;Ne
78;5,6;-55,4;7,29;2,03;Negativno;Ne
79;0,7;-13,3;7,2;5,45;Negativno;Ne
80;2,4;-77,0;7,37;2,81;Negativno;Ne
81;8,9;-41,1;6,61;1,35;Negativno;Ne
82;6,0;-43,2;6,84;3,55;Negativno;Ne
83;6,9;-42,2;6,63;1,41;Negativno;Ne
84;4,7;-21,1;6,58;5,86;Negativno;Ne
85;13,3;-71,3;6,81;4,41;Negativno;Ne
86;8,2;-47,5;6,55;0,7;Negativno;Ne
87;12,4;-49,3;7,84;2,34;Negativno;Ne
88;12,2;-70,6;7,18;1,22;Negativno;Ne
89;6,8;-38,9;6,28;1,83;Negativno;Ne
90;1,0;-48,4;7,43;2,12;Negativno;Ne
91;2,2;-40,2;6,73;5,23;Negativno;Ne
92;5,7;-57,6;6,55;3,84;Negativno;Da
93;4,7;-57,9;7,34;4,57;Negativno;Ne
94;5,6;-71,3;7,31;2,48;Negativno;Ne
95;14,6;-64,6;6,5;2,98;Negativno;Ne
96;2,4;-55,7;6,52;4,07;Negativno;Ne
97;7,3;-45,4;7,59;2,07;Negativno;Ne
98;5,5;-57,6;6,55;0,41;Negativno;Ne
99;0,8;-52,6;7,7;4,07;Negativno;Ne
100;5,0;-73,0;7,31;0,71;Negativno;Ne
101;2,0;-41,9;7,42;2,99;Negativno;Ne
102;3,7;-42,0;6,49;4,92;Negativno;Ne
103;10,4;-27,2;7,05;0,55;Negativno;Ne
104;7,9;-35,4;7,57;5,77;Negativno;Ne
105;14,1;-51,1;7,84;3,96;Pozitivno;Ne
106;1,3;-33,3;7,16;5,07;Negativno;Ne
107;9,3;150,0;-2,0;5,25;Pozitivno;Ne
108;4,3;-37,6;6,79;2,02;Negativno;Da
109;9,0;-42,4;5,7;0,16;Negativno;Ne
110;14,0;-53,9;7,03;5,55;Negativno;Ne
111;1,5;-27,4;7,69;2,64;Negativno;Ne
112;9,3;-54,3;7,16;5,9;Negativno;Ne
113;1,7;-45,5;6,84;1,89;Pozitivno;Ne
114;9,4;-42,6;7,57;2,08;Negativno;Ne
115;0,6;-62,2;6,81;5,19;Negativno;Ne
116;4,6;-27,8;7,44;3,31;Negativno;Ne
117;3,7;-59,9;7,49;1,8;Negativno;Ne
118;6,8;-41,2;7,18;0,95;Negativno;Ne
119;3,2;-62,0;7,55;1,57;Negativno;Ne
120;6,3;-53,4;6,34;4,71;Negativno;Ne
121;8,3;-63,8;6,44;5,07;Negativno;Ne
122;3,5;-47,8;7,5;2,61;Negativno;Da
123;8,0;-78,7;7,32;3,92;Negativno;Ne
124;7,6;-22,1;6,37;3,24;Negativno;Ne
125;3,2;-66,4;7,03;5,55;Negativno;Ne
126;1,8;-68,0;7,77;1,0;Negativno;Da
127;10,7;-18,4;6,54;2,45;Negativno;Ne
128;0,9;-74,0;6,55;2,3;Negativno;Ne
129;6,0;-16,3;6,86;8,192292325334508;Pozitivno;Da
130;6,2;-60,4;7,3;4,03;Negativno;Ne
131;5,1;-47,3;7,31;5,53;Negativno;Ne
132;6,7;-65,1;6,51;3,92;Negativno;Da
133;3,3;-55,0;6,93;4,04;Negativno;Ne
134;7,2;-36,7;7,06;0,37;Negativno;Ne
135;5,6;-73,0;6,57;3,73;Negativno;Ne
136;14,9;-8,6;7,52;3,725106602371023;Pozitivno;Da
137;12,3;-56,4;6,71;4,47;Pozitivno;Ne
138;8,4;-58,4;6,84;3,81;Negativno;Ne
